epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,6311.81,0.57216,0.64932,0.24158,0.54109,0.6033,0.56188,0.25241,0.56638,0.69479,0.26324,0.000450422,0.000450422,0.000450422
43,6460.01,0.56808,0.64816,0.24234,0.54812,0.60927,0.56791,0.25169,0.58221,0.68243,0.27055,0.000448063,0.000448063,0.000448063
44,6611.48,0.56394,0.64479,0.24056,0.46628,0.55615,0.47482,0.20594,0.59235,0.7398,0.30273,0.000445657,0.000445657,0.000445657
45,6762.29,0.56189,0.64311,0.23756,0.52717,0.61807,0.55391,0.24957,0.57048,0.69055,0.27278,0.000443202,0.000443202,0.000443202
46,6912.8,0.55909,0.64695,0.23601,0.54502,0.61538,0.56795,0.25834,0.56813,0.69788,0.26901,0.0004407,0.0004407,0.0004407
47,7059.52,0.55573,0.64849,0.23675,0.55314,0.61153,0.57636,0.26486,0.55966,0.68798,0.25829,0.000438152,0.000438152,0.000438152
48,7211.58,0.5482,0.64061,0.23185,0.56797,0.62469,0.59262,0.27089,0.55961,0.67951,0.25679,0.000435559,0.000435559,0.000435559
49,7362.27,0.55904,0.63647,0.23872,0.50389,0.60569,0.53319,0.24021,0.56737,0.70703,0.28157,0.00043292,0.00043292,0.00043292
50,7508.77,0.5468,0.63571,0.23269,0.57366,0.63731,0.60679,0.2786,0.55193,0.6853,0.25355,0.000430236,0.000430236,0.000430236
51,7658.78,0.5491,0.62742,0.23427,0.57786,0.62617,0.60449,0.27363,0.5816,0.65668,0.27582,0.000427509,0.000427509,0.000427509
52,7811,0.54766,0.62746,0.23333,0.60073,0.65526,0.63712,0.30194,0.55279,0.64498,0.25223,0.000424738,0.000424738,0.000424738
53,7960.93,0.54159,0.62984,0.23033,0.55898,0.63847,0.60202,0.28251,0.54533,0.68758,0.25345,0.000421925,0.000421925,0.000421925
54,8106.22,0.5401,0.62172,0.2299,0.58841,0.65824,0.63096,0.29984,0.55039,0.64872,0.25816,0.000419071,0.000419071,0.000419071
55,8252.79,0.54313,0.62702,0.2313,0.60506,0.6507,0.63541,0.29422,0.56111,0.64858,0.2673,0.000416175,0.000416175,0.000416175
56,8402.48,0.5416,0.62053,0.23087,0.59045,0.65123,0.6272,0.29678,0.55664,0.64788,0.2574,0.000413238,0.000413238,0.000413238
57,8553,0.53827,0.61574,0.22927,0.5635,0.64447,0.60325,0.28819,0.54649,0.66724,0.25659,0.000410262,0.000410262,0.000410262
58,8698.51,0.54025,0.61555,0.22828,0.62223,0.67118,0.66369,0.32187,0.54845,0.62694,0.24886,0.000407248,0.000407248,0.000407248
59,8841.69,0.53674,0.61063,0.22768,0.6074,0.66462,0.6457,0.30995,0.54788,0.63702,0.25,0.000404194,0.000404194,0.000404194
60,8994.59,0.53397,0.61246,0.22715,0.6212,0.65732,0.65471,0.31383,0.55642,0.63388,0.25381,0.000401104,0.000401104,0.000401104
61,9145.18,0.5331,0.61411,0.22755,0.63103,0.66776,0.66943,0.32488,0.54504,0.63352,0.25024,0.000397977,0.000397977,0.000397977
62,9295.42,0.52787,0.60861,0.22451,0.62848,0.66371,0.66729,0.32216,0.5373,0.64046,0.24461,0.000394814,0.000394814,0.000394814
63,9447.72,0.5311,0.60958,0.22838,0.6413,0.68061,0.68174,0.33837,0.53533,0.62728,0.24622,0.000391616,0.000391616,0.000391616
64,9596.1,0.5273,0.60321,0.2249,0.65592,0.68605,0.6997,0.34289,0.549,0.60377,0.24757,0.000388383,0.000388383,0.000388383
65,9745.1,0.52549,0.60538,0.2237,0.6436,0.68505,0.68846,0.33844,0.54041,0.62362,0.24518,0.000385117,0.000385117,0.000385117
66,9896.19,0.52509,0.60385,0.22268,0.65697,0.67991,0.69207,0.34504,0.53208,0.62565,0.2356,0.000381818,0.000381818,0.000381818
67,10047.5,0.52122,0.60146,0.22075,0.65531,0.70405,0.70606,0.35653,0.52193,0.61375,0.23497,0.000378488,0.000378488,0.000378488
68,10193.9,0.52289,0.59355,0.22111,0.67292,0.68388,0.70327,0.35098,0.54236,0.60265,0.24337,0.000375126,0.000375126,0.000375126
69,10345.6,0.52254,0.59744,0.22314,0.66031,0.69367,0.70275,0.3544,0.53472,0.60694,0.24476,0.000371734,0.000371734,0.000371734
70,10498.2,0.51645,0.59034,0.21905,0.67107,0.71075,0.71845,0.36285,0.53113,0.5995,0.24391,0.000368313,0.000368313,0.000368313
71,10651.4,0.5095,0.59595,0.21547,0.66661,0.70709,0.71404,0.36515,0.52331,0.61005,0.23799,0.000364863,0.000364863,0.000364863
72,10801.3,0.52089,0.58396,0.22247,0.69426,0.69836,0.72866,0.37587,0.5218,0.59634,0.23825,0.000361385,0.000361385,0.000361385
73,10954.6,0.51476,0.58416,0.21793,0.70158,0.69587,0.73513,0.377,0.52445,0.59187,0.2359,0.00035788,0.00035788,0.00035788
74,11106,0.51032,0.58812,0.21655,0.70392,0.71036,0.74015,0.3809,0.52443,0.58737,0.23737,0.00035435,0.00035435,0.00035435
75,11256.7,0.51443,0.58249,0.22134,0.70029,0.70537,0.73676,0.37847,0.52747,0.58747,0.23772,0.000350794,0.000350794,0.000350794
76,11412.3,0.51153,0.58244,0.21825,0.6977,0.71114,0.73751,0.38334,0.52553,0.58201,0.24043,0.000347214,0.000347214,0.000347214
77,11563.1,0.50871,0.58536,0.21463,0.71211,0.71008,0.7446,0.38273,0.53702,0.57402,0.24305,0.000343611,0.000343611,0.000343611
78,11718.3,0.50636,0.58258,0.2161,0.71661,0.70426,0.74377,0.38208,0.53911,0.57731,0.24195,0.000339985,0.000339985,0.000339985
79,11869.7,0.50904,0.57832,0.21555,0.71875,0.71949,0.75221,0.39116,0.52836,0.57392,0.24118,0.000336338,0.000336338,0.000336338
80,12021.7,0.50839,0.57896,0.21511,0.72453,0.72804,0.765,0.40431,0.51489,0.57333,0.23026,0.00033267,0.00033267,0.00033267
81,12173.7,0.50476,0.57704,0.21495,0.72336,0.72072,0.75786,0.39778,0.52252,0.57232,0.23417,0.000328982,0.000328982,0.000328982
82,12320.9,0.50639,0.57072,0.2143,0.73138,0.72368,0.7641,0.39854,0.52622,0.56715,0.23362,0.000325275,0.000325275,0.000325275
83,12474.6,0.50141,0.57398,0.21187,0.73302,0.73326,0.77328,0.40452,0.52561,0.56337,0.23179,0.00032155,0.00032155,0.00032155
84,12624.1,0.50241,0.5695,0.21194,0.72872,0.72702,0.76847,0.40269,0.52047,0.56727,0.23106,0.000317809,0.000317809,0.000317809
85,12772.1,0.50188,0.56912,0.21294,0.73664,0.73069,0.77514,0.40505,0.52186,0.56467,0.22819,0.000314051,0.000314051,0.000314051
86,12919.7,0.49862,0.56478,0.20996,0.73995,0.73178,0.77982,0.41232,0.51602,0.56061,0.22911,0.000310278,0.000310278,0.000310278
87,13068,0.49112,0.56615,0.20895,0.74496,0.73684,0.78304,0.41526,0.51548,0.55524,0.23119,0.00030649,0.00030649,0.00030649
88,13220.6,0.49733,0.55846,0.21112,0.74712,0.74067,0.78295,0.41087,0.52576,0.55214,0.2322,0.00030269,0.00030269,0.00030269
