epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
176,24327.8,0.41923,0.47812,0.16969,0.85623,0.83598,0.89195,0.5208,0.47523,0.47293,0.20099,2.38398e-05,2.38398e-05,2.38398e-05
177,24440.9,0.42115,0.4748,0.17006,0.85616,0.83692,0.89207,0.52061,0.47536,0.47247,0.20137,2.23803e-05,2.23803e-05,2.23803e-05
178,24552,0.42219,0.47577,0.17111,0.85693,0.83593,0.8924,0.52098,0.47552,0.47174,0.2018,2.09776e-05,2.09776e-05,2.09776e-05
179,24667.8,0.41854,0.47629,0.16871,0.85727,0.83793,0.89268,0.52109,0.47547,0.47175,0.20154,1.9632e-05,1.9632e-05,1.9632e-05
180,24778.6,0.42389,0.4744,0.1722,0.85783,0.83707,0.89264,0.52122,0.47541,0.47132,0.20164,1.83439e-05,1.83439e-05,1.83439e-05
181,24889.8,0.41949,0.47111,0.17028,0.85715,0.83808,0.89296,0.52116,0.47561,0.47082,0.20206,1.71135e-05,1.71135e-05,1.71135e-05
182,25001.7,0.42089,0.47548,0.17027,0.8586,0.83762,0.89316,0.52131,0.47574,0.47036,0.20213,1.59412e-05,1.59412e-05,1.59412e-05
183,25117.6,0.41877,0.47441,0.17069,0.85859,0.83808,0.89313,0.52126,0.47574,0.47004,0.20236,1.48273e-05,1.48273e-05,1.48273e-05
184,25228.5,0.42005,0.47443,0.17056,0.85959,0.83637,0.89296,0.52141,0.47556,0.47009,0.20233,1.3772e-05,1.3772e-05,1.3772e-05
185,25341.8,0.42037,0.47723,0.17054,0.85878,0.83639,0.89303,0.52167,0.47548,0.4701,0.20225,1.27757e-05,1.27757e-05,1.27757e-05
186,25454.8,0.41914,0.47629,0.17046,0.85989,0.83599,0.89328,0.52171,0.47552,0.46978,0.20242,1.18384e-05,1.18384e-05,1.18384e-05
187,25575.7,0.41771,0.4713,0.16653,0.86144,0.83576,0.89365,0.52204,0.47539,0.4696,0.20221,1.09606e-05,1.09606e-05,1.09606e-05
188,25691.1,0.42173,0.47437,0.16957,0.86093,0.8366,0.89376,0.5221,0.47508,0.46966,0.20209,1.01424e-05,1.01424e-05,1.01424e-05
189,25807.9,0.41966,0.47218,0.16956,0.86088,0.83615,0.89395,0.52223,0.47515,0.46915,0.20208,9.38391e-06,9.38391e-06,9.38391e-06
190,25924.5,0.41654,0.47272,0.16791,0.8603,0.83599,0.8936,0.52212,0.47496,0.46921,0.20198,8.68544e-06,8.68544e-06,8.68544e-06
191,26044.6,0.34477,0.41886,0.15131,0.85995,0.83592,0.89353,0.52204,0.47466,0.46948,0.20182,8.04714e-06,8.04714e-06,8.04714e-06
192,26152.5,0.34091,0.41358,0.1491,0.85904,0.83637,0.89368,0.52264,0.4745,0.46921,0.20183,7.46914e-06,7.46914e-06,7.46914e-06
193,26258.4,0.33948,0.4109,0.14732,0.86034,0.83676,0.89432,0.52292,0.47454,0.46875,0.20172,6.95161e-06,6.95161e-06,6.95161e-06
194,26363.5,0.34014,0.4113,0.14893,0.86009,0.83739,0.89451,0.5233,0.47398,0.46914,0.2015,6.49466e-06,6.49466e-06,6.49466e-06
195,26472.9,0.33983,0.41031,0.14906,0.86164,0.83668,0.89484,0.52356,0.47375,0.46878,0.20128,6.09841e-06,6.09841e-06,6.09841e-06
196,26579.8,0.33797,0.40997,0.14715,0.86248,0.83621,0.89455,0.52382,0.47342,0.46881,0.2011,5.76296e-06,5.76296e-06,5.76296e-06
197,26686.3,0.34052,0.41142,0.1491,0.86532,0.83458,0.89514,0.52397,0.47316,0.46855,0.20097,5.48838e-06,5.48838e-06,5.48838e-06
198,26794.4,0.33359,0.40674,0.14575,0.86544,0.83489,0.89573,0.52435,0.47278,0.46867,0.20094,5.27476e-06,5.27476e-06,5.27476e-06
199,26901.9,0.33819,0.40867,0.14754,0.86553,0.83559,0.89572,0.52464,0.47285,0.46847,0.20103,5.12213e-06,5.12213e-06,5.12213e-06
200,27009.1,0.33992,0.40721,0.14854,0.86602,0.83518,0.89563,0.52477,0.4725,0.46851,0.20076,5.03053e-06,5.03053e-06,5.03053e-06
